Inference for Stan model: anon_model_5d703b856fa2f28cab8159e4abe012f4.
4 chains, each with iter=20000; warmup=10000; thin=1; 
post-warmup draws per chain=10000, total post-warmup draws=40000.

                    mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
outl_loglike[143]   4.56  3.6e-3   0.67   3.27   4.12   4.54   4.99   5.91  34278    1.0
outl_loglike[144]   4.48  3.8e-3    0.7   3.11   4.03   4.47   4.93   5.86  33417    1.0
outl_loglike[145]   4.41  4.2e-3   0.78   2.74   3.96   4.44   4.91   5.86  34157    1.0
outl_loglike[146]   3.51  3.3e-3   0.59   2.48   3.09   3.47   3.89   4.79  31899    1.0
outl_loglike[147]   3.98  4.9e-3   0.94   1.88   3.45   4.05    4.6   5.63  36581    1.0
outl_loglike[148]   4.65  3.6e-3   0.63   3.48   4.23   4.62   5.05   5.97  30625    1.0
outl_loglike[149]   4.04  4.3e-3   0.84   2.26   3.54   4.09    4.6    5.6  38288    1.0
outl_loglike[150]   4.36  3.8e-3   0.74   2.86    3.9   4.36   4.83   5.79  36866    1.0
outl_loglike[151]   4.72  3.4e-3   0.61   3.63    4.3   4.68    5.1   6.01  31497    1.0
outl_loglike[152]   4.33  3.9e-3   0.74   2.82   3.87   4.34   4.82   5.76  36520    1.0
outl_loglike[153]   4.72  3.4e-3   0.61   3.63   4.29   4.68    5.1    6.0  32186    1.0
outl_loglike[154]   4.64  3.6e-3   0.65    3.4   4.21   4.62   5.05   5.97  32276    1.0
outl_loglike[155]   3.46  6.0e-3   1.19    0.7   2.83    3.6   4.27   5.41  39242    1.0
outl_loglike[156]   4.55  3.7e-3   0.68   3.24   4.12   4.54   4.98   5.91  33729    1.0
outl_loglike[157]    4.6  3.6e-3   0.66   3.34   4.17   4.58   5.02   5.93  33158    1.0
outl_loglike[158]   3.71  4.7e-3   0.94   1.66   3.15   3.77   4.34   5.39  40481    1.0
outl_loglike[159]   4.21  4.2e-3   0.77   2.65   3.73   4.23   4.72   5.69  33463    1.0
outl_loglike[160]   4.57  3.7e-3   0.67   3.25   4.13   4.56    5.0   5.93  32716    1.0
outl_loglike[161]   4.13  4.2e-3   0.82   2.42   3.63   4.16   4.66   5.66  37533    1.0
outl_loglike[162]   4.44  4.5e-3    0.8   2.65   4.02   4.48   4.95   5.89  31082    1.0
