# FITOPT: ->FITOPT000
# FITOPT:	 NONE
# ----------------------------------------
NVAR: 34
VARNAMES:  CID IDSURVEY TYPE FIELD CUTFLAG_SNANA zCMB zCMBERR zHD zHDERR VPEC VPEC_ERR HOST_LOGMASS HOST_LOGMASS_ERR SNRMAX1 SNRMAX2 SNRMAX3 PKMJD PKMJDERR x1 x1ERR c cERR mB mBERR x0 x0ERR COV_x1_c COV_x1_x0 COV_c_x0 NDOF FITCHI2 FITPROB PIa DISTCORR
# VERSION_SNANA		 = v10_45j
# TABLE NAME: FITRES
#

SN: 1996bl 61 0 NULL 1 0.0348 0.0000 0.0343 0.0000 -164.2130 0.0000 10.5600 0.1600 63.8660 51.7015 45.2381 50377.1 0.2 -1.40409e-01 1.10500e-01 -1.29045e-02 3.03085e-02 1.64652e+01 5.78947e-02 4.66559e-03 2.48783e-04 1.75168e-04 -2.11296e-06 -5.92603e-06 27 46.4460 0.0157 1.0000 -0.0025
SN: 1996bv 61 0 NULL 1 0.0167 0.0000 0.0170 0.0000 75.0459 0.0000 9.4000 4.0000 108.5735 98.7044 83.5190 50404.6 0.6 7.16500e-01 2.18800e-01 1.47000e-01 3.05897e-02 1.50916e+01 6.76784e-02 1.63909e-02 1.02171e-03 -5.56785e-04 6.27612e-05 -2.43729e-05 13 32.4005 0.0035 1.0000 0.0069
SN: 1996c 61 0 NULL 1 0.0275 0.0000 0.0275 0.0000 1.6089 0.0000 10.1100 0.1900 49.3519 31.0216 24.6760 50129.6 0.3 6.50400e-01 1.31000e-01 4.86976e-02 2.90499e-02 1.63549e+01 3.46167e-02 5.14888e-03 1.64162e-04 -5.96203e-04 3.73709e-06 -3.91256e-06 36 42.3823 0.2500 1.0000 0.0008
SN: 1997dg 62 0 NULL 1 0.0328 0.0000 0.0344 0.0000 473.6662 0.0000 9.5700 0.3100 90.4770 63.8657 51.7007 50720.8 0.3 -2.83540e-01 1.75200e-01 -1.65084e-02 2.97398e-02 1.66340e+01 5.19141e-02 3.99443e-03 1.90992e-04 -2.17541e-04 2.10037e-06 -4.39960e-06 14 16.7518 0.3339 1.0000 -0.0026
SN: 1997e 62 0 NULL 1 0.0131 0.0000 0.0132 0.0000 14.6724 0.0000 11.7900 1.5000 135.7181 98.7042 83.5185 50468.5 0.1 -1.74908e+00 9.09080e-02 4.25454e-02 3.18126e-02 1.49226e+01 7.32858e-02 1.91344e-02 1.29155e-03 -3.60398e-04 7.90589e-06 -3.27010e-05 26 21.5330 0.7607 1.0000 0.0079
SN: 1997y 62 0 NULL 1 0.0168 0.0000 0.0173 0.0000 144.4079 0.0000 10.9190 0.1200 108.5752 72.3822 72.3819 50489.1 0.5 -1.07397e+00 1.45400e-01 9.65985e-03 2.78500e-02 1.50845e+01 3.13040e-02 1.65004e-02 4.75740e-04 -2.11875e-04 2.85516e-06 -1.11981e-05 11 10.9540 0.5329 1.0000 0.0068
SN: 1998dk 62 0 NULL 1 0.0120 0.0000 0.0121 0.0000 19.1643 0.0000 9.8700 0.0700 135.7148 83.5179 54.2880 51058.5 0.4 -9.32347e-02 1.91400e-01 2.11600e-01 3.47524e-02 1.46837e+01 5.70150e-02 2.38357e-02 1.25168e-03 9.30855e-04 -6.55168e-05 -3.77832e-05 8 6.1433 0.7255 1.0000 0.0082
SN: 1998dx 62 0 NULL 1 0.0539 0.0000 0.0542 0.0000 87.8040 0.0000 11.3145 0.2809 90.4780 57.1442 51.7021 51072.4 0.4 -1.58772e+00 2.98000e-01 -9.55008e-02 3.24486e-02 1.73298e+01 4.49153e-02 2.12347e-03 8.78448e-05 6.25636e-04 2.03678e-06 -2.19073e-06 11 7.2170 0.8429 1.0000 -0.0124
SN: 1998ec 62 0 NULL 1 0.0201 0.0000 0.0197 0.0000 -120.9920 0.0000 10.7200 3.5000 135.7170 98.7053 77.5514 51090.2 0.9 -1.49638e-01 2.46400e-01 1.64200e-01 5.74887e-02 1.59617e+01 1.16400e-01 7.35973e-03 7.89343e-04 4.42434e-03 -4.56203e-05 -4.21002e-05 8 4.3612 0.8861 1.0000 0.0061
SN: 1998ef 62 0 NULL 1 0.0160 0.0000 0.0166 0.0000 177.3348 0.0000 10.6500 0.1500 155.1053 108.5747 83.5188 51114.2 0.1 -1.18850e+00 1.11500e-01 -8.59919e-02 2.95411e-02 1.45885e+01 5.12320e-02 2.60484e-02 1.22913e-03 2.16134e-04 -2.31506e-05 -2.74574e-05 11 13.1506 0.2836 1.0000 0.0070
