Inference for Stan model: anon_model_5d703b856fa2f28cab8159e4abe012f4.
4 chains, each with iter=20000; warmup=10000; thin=1; 
post-warmup draws per chain=10000, total post-warmup draws=40000.

                    mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
outl_loglike[229]   4.58  2.0e-3   0.38    3.8   4.35   4.58   4.83   5.33  35307    1.0
outl_loglike[230]    4.4  3.9e-3   0.56   3.03   4.17   4.47   4.74   5.25  20363    1.0
outl_loglike[231]   4.46  3.5e-3    0.5   3.25   4.22   4.51   4.77   5.28  20651    1.0
outl_loglike[232]   4.27  5.0e-3   0.73   2.51   4.03    4.4   4.69   5.22  21344    1.0
outl_loglike[233]   4.03  5.7e-3   0.96   1.63    3.7   4.26   4.61   5.17  28420    1.0
outl_loglike[234]   4.24  2.5e-3   0.54   3.01   3.93   4.29    4.6   5.16  45359    1.0
outl_loglike[235]   4.17  6.1e-3   0.87   2.09   3.94   4.34   4.64   5.18  20454    1.0
outl_loglike[236]   4.37  3.1e-3   0.57   2.95   4.12   4.45   4.73   5.25  33492    1.0
outl_loglike[237]   4.66  1.8e-3   0.34   4.02   4.43   4.64   4.87   5.36  35809    1.0
outl_loglike[238]   4.41  3.9e-3   0.56   3.06   4.17   4.48   4.75   5.26  20470    1.0
outl_loglike[239]   4.53  2.1e-3    0.4   3.69   4.29   4.54   4.79   5.29  36375    1.0
outl_loglike[240]   4.51  2.6e-3   0.43   3.56   4.28   4.54   4.79   5.29  26541    1.0
outl_loglike[241]   4.46  3.4e-3   0.51   3.25   4.22   4.51   4.77   5.28  22200    1.0
outl_loglike[242]   3.91  2.8e-3   0.64   2.47   3.55   3.98   4.35   4.98  53199    1.0
outl_loglike[243]   4.69  1.7e-3   0.33   4.09   4.46   4.67    4.9   5.38  35299    1.0
outl_loglike[244]   3.61  4.1e-3   0.86    1.6   3.14   3.73   4.21   4.91  43942    1.0
outl_loglike[245]   3.92  3.4e-3   0.77   2.04   3.52   4.05   4.45   5.07  51432    1.0
outl_loglike[246]   3.87  2.8e-3   0.65   2.42   3.48   3.94   4.32   4.96  55241    1.0
outl_loglike[247]   4.48  2.8e-3   0.46    3.4   4.24   4.52   4.78   5.29  26841    1.0
